id,first_name,last_name,full_name,country,ranking,movement,ranking_points
1239432,Jannik,Sinner,Jannik Sinner,Italy,1,,11420
1655550,Carlos,Alcaraz,Carlos Alcaraz,Spain,2,,7120
342990,Alexander,Zverev,Alexander Zverev,Germany,3,,6805
89304,Novak,Djokovic,Novak Djokovic,Serbia,4,,6210
981036,Daniil,Medvedev,Daniil Medvedev,Russia,5,,5230
816264,Taylor,Fritz,Taylor Fritz,USA,6,,4335
640542,Andrey,Rublev,Andrey Rublev,Russia,7,,4070
715500,Casper,Ruud,Casper Ruud,Norway,8,,3855
141498,Grigor,Dimitrov,Grigor Dimitrov,Bulgaria,9,,3740
1207446,Minaur,De,Minaur De,Australia,10,,3725
734208,Stefanos,Tsitsipas,Stefanos Tsitsipas,Greece,11,,3325
831288,Tommy,Paul,Tommy Paul,USA,12,,3180
1698432,Holger,Rune,Holger Rune,Denmark,13,+1,3005
219570,Kevin,Krawietz,Kevin Krawietz,,13,+605,35
953388,Hubert,Hurkacz,Hubert Hurkacz,Poland,14,-1,2810
1552506,Jack,Draper,Jack Draper,United Kingdom,15,+3,2800
1566102,Lorenzo,Musetti,Lorenzo Musetti,Italy,16,+1,2600
606618,Frances,Tiafoe,Frances Tiafoe,USA,17,-2,2585
1112340,Ugo,Humbert,Ugo Humbert,France,18,-2,2385
2312922,Ben,Shelton,Ben Shelton,USA,19,+4,2330
2031012,Arthur,Fils,Arthur Fils,France,20,,2265
540492,Karen,Khachanov,Karen Khachanov,Russia,21,+3,2225
612918,Alejandro,Tabilo,Alejandro Tabilo,Chile,22,-1,2043
1175052,Sebastian,Korda,Sebastian Korda,USA,23,-1,2010
771324,Alexei,Popyrin,Alexei Popyrin,Australia,24,+1,1775
1429812,Tomas,Machac,Tomas Machac,Czechia,25,+2,1758
1330848,Sebastian,Baez,Sebastian Baez,Argentina,26,,1690
1152090,Aliassime,Auger,Aliassime Auger,Canada,27,-8,1680
526152,Jordan,Thompson,Jordan Thompson,Australia,28,+1,1571
1326084,Francisco,Cerundolo,Francisco Cerundolo,Argentina,29,+1,1570
1528464,Jiri,Lehecka,Jiri Lehecka,Czechia,30,-2,1560
1734888,Perricard,Mpetshi,Perricard Mpetshi,France,31,+19,1519
1642092,Cobolli,Flavio,Cobolli Flavio,Italy,32,-1,1502
980892,Alexander,Bublik,Alexander Bublik,Kazakhstan,33,-1,1460
750048,Nuno,Borges,Nuno Borges,Portugal,34,-1,1446
86562,Jurgen,Melzer,Jurgen Melzer,Austria,35,+1278,3
1413468,Brandon,Nakashima,Brandon Nakashima,USA,35,+3,1375
676710,Matteo,Berrettini,Matteo Berrettini,Italy,36,+5,1370
537804,Nicolas,Jarry,Nicolas Jarry,Chile,37,-3,1365
1797240,Matteo,Arnaldi,Matteo Arnaldi,Italy,38,-1,1335
734220,Tallon,Griekspoor,Tallon Griekspoor,Netherlands,39,-4,1320
1016988,Tomas,Etcheverry,Tomas Etcheverry,Argentina,40,-4,1310
463350,Pedro,Martinez,Pedro Martinez,Spain,41,-2,1270
278358,Jan,Struff,Jan Struff,Germany,42,-2,1265
1848516,Luciano,Darderi,Luciano Darderi,Italy,43,-1,1263
2440380,Alex,Michelsen,Alex Michelsen,USA,44,-1,1220
1628346,Mariano,Navone,Mariano Navone,Argentina,45,-1,1188
100332,Agut,Bautista,Agut Bautista,Spain,46,-1,1171
454890,Zhizhen,Zhang,Zhizhen Zhang,China,47,-1,1145
2233884,Jakub,Mensik,Jakub Mensik,Czechia,48,+3,1137
254286,Marcos,Giron,Marcos Giron,USA,49,-1,1105
155040,David,Goffin,David Goffin,Belgium,50,+4,1080
2093130,Juncheng,Shang,Juncheng Shang,China,51,-4,1075
629094,Lorenzo,Sonego,Lorenzo Sonego,Italy,52,-3,1022
89076,Gael,Monfils,Gael Monfils,France,53,-1,1015
306858,Baena,Carballes,Baena Carballes,Spain,54,+1,980
1191564,Miomir,Kecmanovic,Miomir Kecmanovic,Serbia,55,+3,965
575622,Cameron,Norrie,Cameron Norrie,United Kingdom,56,-3,954
1309566,Fabian,Marozsan,Fabian Marozsan,Hungary,57,-1,930
95376,Adrian,Mannarino,Adrian Mannarino,France,58,-1,929
749592,Roman,Safiullin,Roman Safiullin,Russia,59,+1,888
243252,Nikola,Cacic,Nikola Cacic,Serbia,59,+1254,3
381648,Arthur,Rinderknech,Arthur Rinderknech,France,60,+1,872
944748,Fokina,Davidovich,Fokina Davidovich,Spain,61,+1,860
758148,Jaume,Munar,Jaume Munar,Spain,62,+1,847
1586076,Alexander,Shevchenko,Alexander Shevchenko,Kazakhstan,63,-4,840
355698,Yoshihito,Nishioka,Yoshihito Nishioka,Japan,64,,839
1025688,Zizou,Bergs,Zizou Bergs,Belgium,65,,833
1586244,Acosta,Diaz,Acosta Diaz,Argentina,66,,830
614046,De,Van,De Van,Netherlands,67,,814
533964,Alexandre,Muller,Alexandre Muller,France,68,,790
747948,Aleksandar,Vukic,Aleksandar Vukic,Australia,69,+3,778
1050096,Corentin,Moutet,Corentin Moutet,France,70,,764
349338,Christopher,Oconnell,Christopher Oconnell,Australia,71,,755
235416,Dusan,Lajovic,Dusan Lajovic,Serbia,72,+2,746
1219560,Pavel,Kotov,Pavel Kotov,Russia,73,+2,745
1525374,Yunchaokete,Bu,Yunchaokete Bu,China,74,+2,737
967584,Wild,Seyboth,Wild Seyboth,Brazil,75,+3,732
1424724,Rinky,Hijikata,Rinky Hijikata,Australia,76,+7,732
238278,James,Duckworth,James Duckworth,Australia,77,-8,731
291804,Taro,Daniel,Taro Daniel,Japan,78,+11,724
92616,Fabio,Fognini,Fabio Fognini,Italy,79,-2,721
707508,Denis,Shapovalov,Denis Shapovalov,Canada,80,+15,718
1235448,Hugo,Gaston,Hugo Gaston,France,81,-8,712
763260,Daniel,Altmaier,Daniel Altmaier,Germany,82,,705
500394,Sebastian,Ofner,Sebastian Ofner,Austria,83,-4,704
789408,Sumit,Nagal,Sumit Nagal,India,84,-3,697
1726830,Arthur,Cazaux,Arthur Cazaux,France,85,-5,678
776220,Dominik,Koepfer,Dominik Koepfer,Germany,86,-2,676
427692,Thanasi,Kokkinakis,Thanasi Kokkinakis,Australia,87,-2,671
286632,Marton,Fucsovics,Marton Fucsovics,Hungary,88,,664
1680918,Gabriel,Diallo,Gabriel Diallo,Canada,89,-2,657
544800,Quentin,Halys,Quentin Halys,France,90,,653
1004232,Emil,Ruusuvuori,Emil Ruusuvuori,Finland,91,-5,653
1245462,Adam,Walton,Adam Walton,Australia,92,+11,636
287862,Yannick,Hanfmann,Yannick Hanfmann,Germany,93,-2,627
747960,Max,Purcell,Max Purcell,Australia,94,-1,621
387492,Borna,Coric,Borna Coric,Croatia,95,-1,620
1375320,Otto,Virtanen,Otto Virtanen,Finland,96,+18,618
346230,Lucas,Pouille,Lucas Pouille,France,97,-1,616
86064,Roger,Federer,Roger Federer,Switzerland,97,-1,600
1655700,Jacob,Fearnley,Jacob Fearnley,United Kingdom,98,-6,614
1125660,Aleksandar,Kovacevic,Aleksandar Kovacevic,USA,99,,607
285630,Thiago,Monteiro,Thiago Monteiro,Brazil,100,-2,606
1532532,Francisco,Comesana,Francisco Comesana,Argentina,101,-4,604
1735410,Luca,Nardi,Luca Nardi,Italy,102,-2,594
295044,Damir,Dzumhur,Damir Dzumhur,Bosnia & Herzegovina,103,+1,591
327450,Federico,Coria,Federico Coria,Argentina,104,-3,588
87072,Tomáš,Berdych,Tomáš Berdych,Czech Republic,104,,550
93378,Kevin,Anderson,Kevin Anderson,South Africa,104,,597
1766034,Mattia,Bellucci,Mattia Bellucci,Italy,105,-3,586
246288,Tomislav,Brkic,Tomislav Brkic,Bosnia & Herzegovina,106,+488,40
1176744,Carabelli,Ugo,Carabelli Ugo,Argentina,106,-1,581
1493088,Harold,Mayot,Harold Mayot,France,107,-1,567
336114,Alexander,Ritschard,Alexander Ritschard,Switzerland,108,,545
251280,Ante,Pavic,Ante Pavic,,109,+572,28
1466532,Jong,De,Jong De,Netherlands,109,,541
100110,Mikhail,Kukushkin,Mikhail Kukushkin,Kazakhstan,110,+1,541
1553460,Francesco,Passaro,Francesco Passaro,Italy,111,-1,533
552456,Daniel,Galan,Daniel Galan,Colombia,112,+1,519
671034,Billy,Harris,Billy Harris,United Kingdom,113,-1,511
352710,Min,Song,Min Song,South Korea,113,+872,10
2010624,Assche,Van,Assche Van,France,114,+3,509
1242216,Chun,Tseng,Chun Tseng,Chinese Taipei,115,+10,509
652266,Kamil,Majchrzak,Kamil Majchrzak,Poland,116,-1,506
1242498,Duje,Ajdukovic,Duje Ajdukovic,Croatia,117,-1,506
380640,Mackenzie,Mcdonald,Mackenzie Mcdonald,USA,118,+2,502
1185108,Christopher,Eubanks,Christopher Eubanks,USA,119,,501
2050920,Jaime,Faria,Jaime Faria,Portugal,120,+24,501
1329102,Thiago,Tirante,Thiago Tirante,Argentina,121,-3,490
343746,Hugo,Dellien,Hugo Dellien,Bolivia,122,-15,484
683442,De,Moreno,De Moreno,USA,123,-2,483
267330,Pierre,Herbert,Pierre Herbert,France,124,-1,483
2476920,Learner,Tien,Learner Tien,USA,125,-1,475
566922,Benjamin,Bonzi,Benjamin Bonzi,France,126,-4,473
953484,Valentin,Vacherot,Valentin Vacherot,Monaco,127,-1,471
205596,Mao,Gong,Mao Gong,China,127,+1047,5
342138,Jozef,Kovalik,Jozef Kovalik,Slovakia,128,-1,466
1251996,Sem,Verbeek,Sem Verbeek,,128,+714,16
